sigla,regione
CH,Abruzzo
TE,Abruzzo
AQ,Abruzzo
PE,Abruzzo
PZ,Basilicata
MT,Basilicata
VV,Calabria
CS,Calabria
CZ,Calabria
RC,Calabria
KR,Calabria
SA,Campania
AV,Campania
BN,Campania
CE,Campania
NA,Campania
PR,Emilia-Romagna
MO,Emilia-Romagna
FE,Emilia-Romagna
FC,Emilia-Romagna
BO,Emilia-Romagna
RA,Emilia-Romagna
RE,Emilia-Romagna
RN,Emilia-Romagna
PC,Emilia-Romagna
TS,Friuli-Venezia Giulia
UD,Friuli-Venezia Giulia
GO,Friuli-Venezia Giulia
PN,Friuli-Venezia Giulia
RI,Lazio
LT,Lazio
RM,Lazio
FR,Lazio
VT,Lazio
SV,Liguria
GE,Liguria
IM,Liguria
SP,Liguria
MI,Lombardia
BS,Lombardia
PV,Lombardia
SO,Lombardia
MB,Lombardia
MN,Lombardia
VA,Lombardia
LO,Lombardia
BG,Lombardia
LC,Lombardia
CO,Lombardia
CR,Lombardia
PU,Marche
MC,Marche
AN,Marche
AP,Marche
FM,Marche
CB,Molise
IS,Molise
AL,Piemonte
BI,Piemonte
NO,Piemonte
TO,Piemonte
VC,Piemonte
CN,Piemonte
AT,Piemonte
VB,Piemonte
BA,Puglia
BT,Puglia
BR,Puglia
FG,Puglia
TA,Puglia
LE,Puglia
SS,Sardegna
OR,Sardegna
NU,Sardegna
CA,Sardegna
SU,Sardegna
SR,Sicilia
TP,Sicilia
AG,Sicilia
RG,Sicilia
EN,Sicilia
ME,Sicilia
CL,Sicilia
PA,Sicilia
CT,Sicilia
GR,Toscana
LI,Toscana
LU,Toscana
MS,Toscana
AR,Toscana
PI,Toscana
SI,Toscana
FI,Toscana
PT,Toscana
PO,Toscana
TN,Trentino-Alto Adige
BZ,Trentino-Alto Adige
PG,Umbria
TR,Umbria
AO,Valle d'Aosta
BL,Veneto
VI,Veneto
TV,Veneto
VE,Veneto
RO,Veneto
VR,Veneto
PD,Veneto
